account_number,name,username,email,mobile,address,bank,password,account_balance,family_name,shared_pin
14299373097,andy,andy*87,andygmail,6300248663,uppal,Unilag Bank,iiiiiiii,10000.0,mum,goodday
99727473268,riya,riya*87,riyagmail.com,6322048440,ecil,Unilag Bank,jjjjjjjj,10000.0,dad,appaamma
75228650953,priya,priya44,priyagmail.com,8309027864,ecil,Unilag Bank,hello888,10020.0,,
19226272317,keerthi,keerthi87,keerthi,8309027863,mehdipatnam,Unilag Bank,keerthi87,24000.0,brother,keerthi87
94102669703,hary,hary,harygmail,123456789,hyd,Unilag Bank,12345678,11980.0,,
53337323565,handy,handy,handy,6842315793,hyd,Unilag Bank,handy123,10200.0,her,handy123
70579673836,arun,arunp,hgfdsa,5623897410,bhongir,Unilag Bank,1234567890,10000.0,sister,12345
19371838740,h,h,h,1234567890,h,Unilag Bank,12345678,10000.0,,
50295242053,mita,mita23,mita123@gmail.com,8309027856,hyderabad,Unilag Bank,kalyani123,11200.0,meera,kalyani
32085318859,sharash,sharash1,sharash@gmail.com,12344567890,56885,Unilag Bank,12345678,10000.0,,
41486327642,arunn,a12,arun@12,7788994455,hyd,Unilag Bank,12345678,10000.0,wife,sharash
64268026124,h,h,h,1234567890,hyd,Unilag Bank,12345678,10000.0,m,m
41391809307,h,harry,as,7894561230,hyd,Unilag Bank,12345678,6200.0,,
